类别,名称,经度,纬度,地址,类型,省,市,区县
银行,山东张店农村商业银行(世纪路支行),118.024128,36.808525,共青团西路181号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国建设银行24小时自助银行,117.999436,36.830686,联通路290号,金融保险服务;自动提款机;中国建设银行ATM,山东省,淄博市,张店区
银行,中国农业银行(淄博重庆路支行),118.004764,36.830453,联通路266号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国农业银行(淄博理工大学支行),118.006127,36.811187,张周路12号山东理工大学校内(博大花园淄博商厦超市旁),金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国农业银行24小时自助银行(世纪路支行),118.025127,36.789862,王舍路建业花园1号楼1层,金融保险服务;自动提款机;中国农业银行ATM,山东省,淄博市,张店区
银行,中国建设银行24小时自助银行(淄博银泰支行),118.033704,36.848250,"鲁泰大道9号银泰城1F层1031(西南门进入向右前方走50m,扶梯附近)",金融保险服务;自动提款机;中国建设银行ATM,山东省,淄博市,张店区
银行,兴业银行(张店支行),118.026103,36.785986,首丰大厦南门旁,金融保险服务;银行;兴业银行,山东省,淄博市,张店区
银行,中国工商银行(淄博张店鑫城支行),118.016158,36.803244,马尚街道新村西路179号鑫城中心C座1楼西首,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国工商银行(淄博张店丽景苑支行),118.037318,36.824632,马尚镇北西五路36号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国银行股份有限公司淄博潘南东路支行,118.078412,36.811882,潘南东路19号甲6甲7甲8号甲9号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国工商银行(淄博高新丰悦支行),118.009708,36.841749,丰悦路富力万达广场项目S2号沿街商用房(S107-109、S207-209),金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,交通银行(淄博颐丰支行),118.001445,36.841483,颐丰花园颐盛园21号楼5号一层,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,山东张店农村商业银行(新村西路支行),118.044794,36.801424,新村西路150号甲1号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,渤海银行(中润大道支行),118.016298,36.838123,中润大道与西八路交叉口东150米路北,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,交通银行(淄博体育馆支行),118.028238,36.803144,新村西路186号甲8号(金梦园大酒店东邻),金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,中国银行24小时自助银行(淄博新区支行),118.019153,36.830092,联通路116号,金融保险服务;自动提款机;中国银行ATM,山东省,淄博市,张店区
银行,齐商银行(城中支行),118.058253,36.819981,华光路46号甲13号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国农业银行(淄博南京路分理处),118.011407,36.826725,南京路宏程国际广场11号楼101,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国银行(淄博黄金国际支行),118.027919,36.822268,华光路116号德泰智汇广场F1层,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,东营银行(张店支行),118.032080,36.802717,南西六路27号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(通济支行),118.025461,36.802596,世纪路44号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(共青团支行),118.057960,36.805085,共青团西路3号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(凯瑞园支行),118.015091,36.815435,人民西路166号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国农业银行(柳泉路支行),118.049245,36.806448,共青团西路71号园林大厦F1层,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,张店农商银行(中埠支行),118.188753,36.846304,中埠镇中埠村南首,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(兴学街营业所),118.047149,36.793986,兴学街93号,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
银行,张店农村商业银行(西二路支行),118.054951,36.804917,西二路175号金丰商务楼F1层,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,齐商银行(公园支行),118.045780,36.807539,共青团西路84号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(山铝支行),118.042813,36.754503,南定镇山铝西山五街1号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(政务中心支行),118.042525,36.802000,新村西路与西四路交叉口东北(凤阳大厦一层),金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行24小时自助银行(淄博中心路支行),118.059476,36.798493,金晶大道44号甲1号,金融保险服务;自动提款机;中国农业银行ATM,山东省,淄博市,张店区
银行,中国建设银行(淄博人民西路支行),118.060200,36.811537,人民西路1号华润中央公园5号楼,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,张店农村商业银行(华光路支行),118.062533,36.819322,华光路36号,金融保险服务;银行;农村商业银行,山东省,淄博市,张店区
银行,张店农商银行(高新区支行),118.072134,36.843463,中心路271号,金融保险服务;银行;农村商业银行|生活服务;生活服务场所;生活服务场所,山东省,淄博市,张店区
银行,中国工商银行(张店西城支行)(装修中),118.018275,36.824125,义乌商城街47号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,齐商银行(丽景苑支行),118.037630,36.824871,北西五路38甲2丽景苑小区2号综合楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(科学城支行),118.035510,36.864697,裕民路与北西六路交汇处南石社区5号沿街房,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(莲池支行),118.032719,36.829156,北西六路98号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(华光路支行),118.057721,36.820093,华光路46号甲23号,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
银行,招商银行24小时自助银行(淄博高新支行),118.045844,36.847862,鲁泰大道53号招商银行自助ATM存取款机,金融保险服务;自动提款机;招商银行ATM,山东省,淄博市,张店区
银行,上海浦东发展银行(世纪花园社区支行),118.016778,36.833089,世纪花园冬韵园13号楼,金融保险服务;银行;上海浦东发展银行|金融保险服务;银行相关;银行相关,山东省,淄博市,张店区
银行,招商银行24小时自助银行(淄博西城支行),117.991904,36.817380,人民西路222号中德大厦102,金融保险服务;自动提款机;招商银行ATM,山东省,淄博市,张店区
银行,齐商银行,118.037257,36.810048,北西五路6号甲1号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(和平支行),118.023276,36.780479,世纪路与复兴路交叉口西南角,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(淄博张店车站支行),118.057606,36.792793,金晶大道19号泰星大酒店,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国工商银行(杏园路支行),118.071983,36.786976,杏园东路58号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,齐商银行(体坛支行),118.046526,36.795888,柳泉路13号甲5号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国农业银行(淄博先创区支行),118.140554,36.876630,傅山村商贸中心西侧,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,齐商银行(科技支行),118.032527,36.811395,北西六路5号甲5号山东齐赛创意动漫科技大厦F1层,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行24小时自助银行(淄博张店齐盛支行),118.001670,36.844148,房镇镇天乙村沿街房A座一楼西区,金融保险服务;自动提款机;中国工商银行ATM,山东省,淄博市,张店区
银行,中国建设银行24小时自助银行(淄博高新支行),118.059043,36.840694,[],金融保险服务;自动提款机;中国建设银行ATM,山东省,淄博市,张店区
银行,中国邮政储蓄银行淄博市高新技术产业开发区支行,118.035773,36.837717,九宏大厦,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
