类别,名称,经度,纬度,地址,类型,省,市,区县
商超,淄博理想城商业休闲广场,118.001994,36.816309,亿丰商场,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,王府井通讯商城(淄博王府井广场店),118.052126,36.805493,西二路231号怡莱酒店,购物服务;家电电子卖场;手机销售,山东省,淄博市,张店区
商超,巴达商贸(利群时代广场店),118.048045,36.801854,柳泉路29号利群时代广场F1层,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,淄诚电子商贸(利群时代广场店),118.048046,36.801821,柳泉路29号利群时代广场正门南侧,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,非同(昌国商场红星美凯龙店),118.03451,36.782601,南西五路与昌国路路口红星美凯龙(昌国商场店)一楼非同,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,日立中央空调智慧空气馆(红星美凯龙昌国商场店),118.033875,36.783025,昌国西路23号红星美凯龙四楼中厅,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,华鹤(红星美凯龙淄博昌国商场),118.033775,36.783225,车站街道昌国路23号3楼中厅,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,世友地板(红星美凯龙昌国商场),118.033063,36.783085,车站街道昌国西路23号红星美凯龙一楼,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,西门子(昌国商场红星美凯龙店),118.033105,36.783367,昌国路红星美凯龙1楼西北角,购物服务;家电电子卖场;家电电子卖场,山东省,淄博市,张店区
商超,芝华仕头等舱沙发(昌国商场红星美凯龙店),118.03428,36.783035,昌国路29号1楼,购物服务;家居建材市场;家具城,山东省,淄博市,张店区
商超,优品购超市(商场西街店),118.043986,36.805202,梦圆广场,购物服务;超级市场;超市,山东省,淄博市,张店区
商超,茂业天地(暂停营业),118.050853,36.807477,柳泉路152号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,莲池利群购物广场(暂停营业),118.036154,36.831436,北西五路25号,购物服务;商场;购物中心,山东省,淄博市,张店区
商超,自贸免税商城(建设中),118.055953,36.845954,鲁泰大道辅路与天鸿路交叉口东南140米,购物服务;商场;普通商场,山东省,淄博市,张店区
商超,楚楚整家定制(红星美凯龙昌国商场店),118.033775,36.783225,昌国路23号红星美凯龙昌国商场二楼,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
商超,得力文具(商场东街店),118.064748,36.800478,商场东路6号6号甲4号,购物服务;文化用品店;文化用品店,山东省,淄博市,张店区
商超,英国集宝保险柜(红星美凯龙昌国商场店),118.033773,36.783271,昌国路23号,购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
商超,花星语鲜花店(商场西街店),118.045846,36.803841,和平街道商场西路中段3号楼一层东数第一间,购物服务;花鸟鱼虫市场;花卉市场,山东省,淄博市,张店区
商超,潍坊六和窗帘(商场西街店),118.038974,36.805017,商场西街博物馆北门北十三巷,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,馨雅窗帘布艺(商场西街店),118.039563,36.805039,商场西街62号甲77号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,华丽窗帘沙发套(商场西街店),118.039425,36.805079,商场西街62号甲44号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,雅居窗帘(商场西街店),118.037682,36.805073,商场西街62号甲77号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,贵雅窗帘(商场西街店),118.04412,36.804702,商场西街40号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,小李水果(商场东街店),118.064253,36.800562,商场路东街4号甲11号,购物服务;综合市场;果品市场,山东省,淄博市,张店区
商超,林海窗帘布艺(商场西街店),118.038125,36.805025,商场西街62号甲75号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,暹罗阁泰国佛牌(富丽商城店),118.056082,36.805339,公园街道共青团西路23号富丽商城西区B151室,购物服务;专卖店;珠宝首饰工艺品,山东省,淄博市,张店区
商超,潍坊六丰窗饰(商场西街店),118.038918,36.805017,商场西街62号甲52号,购物服务;家居建材市场;布艺市场,山东省,淄博市,张店区
商超,台铃电动车(公园街道商场西街2店),118.027639,36.805522,"公园街道新东升福园西区南门,78号甲17号",购物服务;专卖店;自行车专卖店,山东省,淄博市,张店区
商超,龙展烟酒商行(公园办事处商场西路店),118.046743,36.804318,商场西街8号,购物服务;专卖店;烟酒专卖店,山东省,淄博市,张店区
商超,爱尚花坊(商场东街店),118.062131,36.800792,商场东路2甲8号万象汇3门正对面,购物服务;花鸟鱼虫市场;花卉市场,山东省,淄博市,张店区
商超,正泰照明(装饰材料城核心商场店),118.020625,36.784084,傅家镇昌国路105号鲁中装饰材料城核心商场二楼左转博瑞特灯饰,购物服务;家居建材市场;灯具瓷器市场,山东省,淄博市,张店区
商超,乐芙服装店(商场西街店),118.027922,36.807305,共青团西路155号新东升·福园西区,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,山东省,淄博市,张店区
商超,雅帝乐入户门车库门(红星美凯龙昌国商场),118.033791,36.783286,昌国路红星美凯龙中厅3楼西北角,购物服务;家居建材市场;建材五金市场,山东省,淄博市,张店区
