类别,名称,经度,纬度,地址,类型,省,市,区县
医院,马尚镇九级村卫生室,118.020915,36.818852,[],医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区科苑街道社区卫生服务中心,118.059860,36.823073,朝阳街淄博市张店区潘南小学(北校区),医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区城中社区卫生服务中心,118.052492,36.800012,新村西路14号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,福园社区卫生服务站,118.028275,36.806175,温馨家园A1-5小区,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,新青年社区卫生服务站,118.061655,36.841696,新青年公寓综合楼北10号,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,张店区湖田街道福昇社区卫生服务站,118.071007,36.788078,杏园东路77号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,凯瑞安园社区卫生服务站,118.022849,36.812451,凯瑞安园生活区13号楼西,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博高新区四宝山街道时代名都社区卫生服务站,118.043368,36.839213,张桓路77号,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,淄博高新区四宝山街道盛世名苑社区卫生服务站,118.037414,36.842974,裕桥花园西门北220米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区和平街道和平社区卫生服务站,118.039465,36.798486,和平路和平街道办事处和平社区居委会,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,齐林家园社区卫生服务站,118.030609,36.789588,王舍路229号1楼,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区房镇镇卫生院,118.000737,36.846624,天乙路66-2号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市中医医院柳泉路院区扁鹊国医堂,118.053393,36.827665,科苑街道柳泉路85号淄博市第七人民医院,医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
