类别,名称,经度,纬度,地址,类型,省,市,区县
学校,淄博市张店区立人教育培训学校,118.012258,36.810497,共青团西路268号(奥朗特购物广场西三层),科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,葛兰姆艺术学校,118.023916,36.809244,共青团西路146号天都商务中心F8层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市技师学院经开校区,118.051685,36.770831,张南路101号,科教文化服务;学校;职业技术学校,山东省,淄博市,张店区
学校,光美艺术培训学校,118.027285,36.802543,新村西路139号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,神州艺术培训学校张店怡海名人分校,118.004868,36.830574,重庆路怡海名人大厦三楼,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,希希里艺术学校,118.067153,36.871472,柳泉路中德·奥林新城,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博上尚美术学校,118.020843,36.811720,瑞安路48号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,山东理工大学(西校区),118.000702,36.810370,新村西路266号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,淄博立仁职业技能培训学校,118.045677,36.746507,南一街生活区8号楼37,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博学天消防培训学校,118.023467,36.802675,世纪路31号南70米环齐大厦14层1402室,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市实验幼儿园新园,117.977860,36.820666,马尚街道汇文路1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博鸿力艺术培训学校,118.045224,36.813822,人民西路25号宏程名座B座11层,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,昱彤艺术学校,117.993060,36.799317,汇美·和平里东北门旁,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博博苑实验幼儿园,117.999673,36.819831,林泽花园东区南门,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,张店区第一中学初中部,118.042312,36.796296,和平路9号甲1号,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博柳泉艺术学校,118.077172,36.813576,东三路36号,科教文化服务;学校;小学,山东省,淄博市,张店区
学校,淄博市汇英幼儿园,117.967862,36.828781,济南路385号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,山东理工大学东校区,118.039909,36.811461,共青团西路88号,科教文化服务;学校;高等院校,山东省,淄博市,张店区
学校,心悠国际教育托育早教园,117.994033,36.847872,北京路77号绿城百合花园张店区心悠幼儿园内,科教文化服务;学校;幼儿园|科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市博文幼儿园,118.049626,36.785864,张南路7号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博高新区爱森堡幼儿园,118.068193,36.848714,高新区南营居委会东500米路南,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,张店宇峰学校,118.012798,36.719985,南定镇车站街77号,科教文化服务;学校;学校,山东省,淄博市,张店区
学校,金话筒口才主持培训学校,118.040792,36.837520,中润大道与张桓路交叉口西280米,科教文化服务;培训机构;培训机构|购物服务;购物相关场所;购物相关场所,山东省,淄博市,张店区
学校,淄博市万华职业技能培训学校,118.068735,36.770805,良乡工业园东区一号路一号,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区铝城第一幼儿园,118.042548,36.752533,南定镇山铝西山三街6号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,遇见艺术学校,118.031795,36.801088,新村路和西六路交叉口向南100米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,科朗教育培训学校,118.045826,36.773517,马庄小区南1门北300米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博市张店区铝城第一幼儿园,118.042548,36.752533,南定镇山铝西山三街6号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,遇见艺术学校,118.031795,36.801088,新村路和西六路交叉口向南100米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,科朗教育培训学校,118.045826,36.773517,马庄小区南1门北300米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,舞之魂艺术学校,118.020281,36.836440,世纪花园北门鼓舞培育基地一楼,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博天才美术学校(金晶大道西三巷),118.059352,36.804213,公园街道金晶大道165号(西三巷内),科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,淄博洛必达考研寄宿学校,118.001418,36.816832,马尚街道钱裕园小区13-1101室,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,张店区实验幼儿园,118.037817,36.798787,和平小区42号,科教文化服务;科教文化场所;科教文化场所,山东省,淄博市,张店区
学校,淄博市齐盛幼儿园,118.045281,36.818589,人民西路24号院,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市中联职业培训学校,118.026125,36.819275,世纪路30号创业大厦F5层,科教文化服务;学校;职业技术学校|科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,八音河国际幼稚园,118.038820,36.837906,中润大道51号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博市柳泉幼儿园,118.001153,36.833659,丰泰路与齐盛路交叉口龙泰国际,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博张店新华同力南家幼儿园,118.020072,36.788424,傅家镇昌国西路60号南家小区院内28号楼西,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,金羽梦园幼儿园,118.070044,36.843663,南营路28号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,春晖艺术培训学校,118.032458,36.817323,北西六路66号(齐泰商城7营业房),科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
学校,科苑幼儿园,118.041487,36.818644,道庄小区中心街1号,科教文化服务;学校;幼儿园,山东省,淄博市,张店区
学校,淄博瑞丁艺术培训学校,118.018279,36.824664,美达华庭东南2门东北80米,科教文化服务;培训机构;培训机构,山东省,淄博市,张店区
