类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,东一路新村路口(公交站),118.062464,36.796641,136路/K136路;206路;222路/K222路;5路;6路/K6路;71路;71路(6点30分);7路/K7路;82路;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张店区中医院(公交站),118.051779,36.799863,126路/K126路;12路/K12路;132路/K132路;89路/K89路;92路/K92路;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,第七医院北门(公交站),118.052491,36.827855,123路/K123路;126路/K126路;79路/K79路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,新村路柳泉路口(公交站),118.045433,36.800866,126路/K126路;12路/K12路;132路/K132路;35路/K35路;90路/K90路北线;90路/K90路南线;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市自然资源局(公交站),118.041191,36.814252,102路/K102路;105路/K105路;108路/K108路;116路/K116路(北线);116路/K116路(南线);135路/K135路;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,东方星城(公交站),118.066405,36.822387,116路/K116路(北线);116路/K116路(南线);122路/K122路;159路/K159路;162路;51路(东线);71路;71路(6点30分);88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,东营银行淄博分行(公交站),118.060794,36.819220,138路东线;138路西线;2路/K2路;89路/K89路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,迎春园(公交站),118.057882,36.827157,157路/K157路;159路/K159路;79路/K79路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市政务服务中心(公交站),118.039482,36.801659,126路/K126路;12路/K12路;138路东线;138路西线;222路/K222路;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,潘南路金晶大道路口(公交站),118.062485,36.815190,122路/K122路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,杏园路金晶大道路口(公交站),118.056288,36.790490,108路/K108路;125路/K125路;126路/K126路;127路/K127路;12路/K12路;136路/K136路;139路/K139路;158路/K158路;159路/K159路;160路/K160路;162路;1路直达(利群);206路;20路;266路/K266路;2路/K2路;37路/K37路;51路(东线);58路/K58路;5路;71路;71路(6点30分);76路/K76路;82路;87路大站快线;89路/K89路;95路/K95路;96路/K96路;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,东一路·八大局市场南门(公交站),118.063660,36.803676,7路/K7路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,西五路华光路口(公交站),118.036942,36.818325,108路/K108路;135路/K135路;137路/K137路;223路/K223路;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,交警支队(公交站),118.046810,36.795139,121路/K121路;137路/K137路;151路(王府井-淄川)直达/K151路;160路/K160路;181路/K181路;251路/K251路;51路西线;95路/K95路;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,张店王府井(公交站),118.052818,36.806171,接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,潘成装饰材料城(公交站),118.064164,36.825854,157路/K157路;159路/K159路;79路/K79路;88路/K88路内环;88路/K88路外环,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,红卫电机厂生活区(公交站),118.047739,36.798724,137路/K137路;160路/K160路;251路/K251路;51路西线;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,金丰大厦(公交站),118.033961,36.802298,126路/K126路;12路/K12路;7路/K7路;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,东二路人民路口(公交站),118.068352,36.809074,136路/K136路;71路;71路(6点30分),交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄建第五生活区(公交站),118.068451,36.807171,136路/K136路;71路;71路(6点30分);8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市政务服务中心(市博物馆)西门(公交站),118.036945,36.803520,223路/K223路;7路/K7路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,盘古映画(公交站),118.065291,36.804291,136路/K136路;138路东线;138路西线;71路;71路(6点30分);76路/K76路;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
